title,category,license,author,asset_url,github_url
2D Action Compute Resource,2D Tools,MIT,Kijou Shihona,https://godotengine.org/asset-library/asset/2173,https://github.com/KijouShihona/2DActionComputeResource
2D Bullet Shower Demo,Demos,MIT,Godot Engine,https://godotengine.org/asset-library/asset/887,https://github.com/godotengine/godot-demo-projects
2D Camera Controller - Multitarget follow + FXs,2D Tools,MIT,AndreMicheletti,https://godotengine.org/asset-library/asset/3686,https://github.com/AsyncStudio/godot-smartcamera-2d
2D Controls Toolkit,2D Tools,MIT,Cianci,https://godotengine.org/asset-library/asset/3684,https://github.com/CiaNCI-Studio/2D-Controls-Toolkit
2D CRPG Character Controller,2D Tools,CC-BY-4.0,sirsnowy7,https://godotengine.org/asset-library/asset/3869,https://github.com/genderfreak/godot-2d-crpg-character-controller
2D drawing by code (gdscript),Templates,MIT,aiaf,https://godotengine.org/asset-library/asset/1707,https://github.com/aiafrasinei/godot_2d_draw_by_code
2D Editor Light Toggle,2D Tools,MIT,aXu-AP,https://godotengine.org/asset-library/asset/2929,https://github.com/aXu-AP/LightToggle2D
2D grid based movement,Templates,MIT,IconocatStudio,https://godotengine.org/asset-library/asset/428,https://github.com/IconocatStudio/godot2dgridmovement
2D Hexagon TileMapLayer Navigation Class,2D Tools,MIT,DubiousDuck,https://godotengine.org/asset-library/asset/3747,https://github.com/DubiousDuck/hexagon-2d-navigation-godot
2D Hexagonal Map Navigation Demo,Demos,MIT,Dimithrandir,https://godotengine.org/asset-library/asset/1888,https://github.com/Dimithrandir/godot_2d_hex_map_nav_demo
2D in 3D Viewport Demo,Demos,MIT,Godot Engine,https://godotengine.org/asset-library/asset/2803,https://github.com/godotengine/godot-demo-projects
2D Lights and Shadows Demo,Demos,MIT,Godot Engine,https://godotengine.org/asset-library/asset/2721,https://github.com/godotengine/godot-demo-projects
2D Lights as Mask Demo,Demos,MIT,Godot Engine,https://godotengine.org/asset-library/asset/2720,https://github.com/godotengine/godot-demo-projects
2D Liquid Simulator,2D Tools,MIT,L-Marcel,https://godotengine.org/asset-library/asset/3082,https://github.com/L-Marcel/2D-Liquid-Simulator
2D Liquid Simulator - 4.3+,2D Tools,MIT,L-Marcel,https://godotengine.org/asset-library/asset/3081,https://github.com/L-Marcel/2D-Liquid-Simulator
2D Particles Demo,Demos,MIT,Godot Engine,https://godotengine.org/asset-library/asset/2724,https://github.com/godotengine/godot-demo-projects
2D Physics Tests Demo,Demos,MIT,Godot Engine,https://godotengine.org/asset-library/asset/888,https://github.com/godotengine/godot-demo-projects
2D Physics Tests Demo,Demos,MIT,Godot Engine,https://godotengine.org/asset-library/asset/2726,https://github.com/godotengine/godot-demo-projects
2D Planar Movement,Scripts,MIT,steventrouble,https://godotengine.org/asset-library/asset/1334,https://github.com/steventrouble/godot-8dir
2D Platformer - Starter Kit,Templates,MIT,G2P Studios,https://godotengine.org/asset-library/asset/2201,https://github.com/AdilDevStuff/2D-Platformer-Starter-Kit
2D Platformer Demo,Demos,MIT,Godot Engine,https://godotengine.org/asset-library/asset/2727,https://github.com/godotengine/godot-demo-projects
2D Platformer Toolkit,Templates,MIT,finn.pckrt,https://godotengine.org/asset-library/asset/1286,https://github.com/finn753/platformer-toolkit
2D Procedural Map Generator,2D Tools,MIT,Unreference,https://godotengine.org/asset-library/asset/3070,https://github.com/DereferenceMyPointer/2D-Map-Generator
2D Revealer,2D Tools,MIT,delvhariant,https://godotengine.org/asset-library/asset/3182,https://github.com/delVhariant/2d-revealer-godot
2D Shapes,2D Tools,MIT,Technocat Dev,https://godotengine.org/asset-library/asset/2704,https://github.com/TechnocatDev/2d-shapes
2D Strategy Camera,2D Tools,MIT,Thomas737,https://godotengine.org/asset-library/asset/4039,https://github.com/Thomas737/godot-strategy-camera
2D Tactical RPG Demo,Demos,MIT,HopeMetal,https://godotengine.org/asset-library/asset/2185,https://github.com/HopeMetal/2DTacticalRPGDemo
2D Train/Railroad Demo,Demos,MIT,Moonbench,https://godotengine.org/asset-library/asset/1710,https://github.com/moonbench/simple-godot-train
2D Train/Railroad Demo,Demos,MIT,Moonbench,https://godotengine.org/asset-library/asset/2624,https://github.com/moonbench/simple-godot-train
2D Wheeled Vehicle Template,Templates,MIT,vrojak,https://godotengine.org/asset-library/asset/480,https://github.com/vrojak/godot-wheeled-vehicle-template
2DLights-Benchmark-Demo,Projects,MIT,TheDuriel,https://godotengine.org/asset-library/asset/347,https://github.com/TheDuriel/Godot-2DLights-Benchmark
3D Anti-Aliasing Demo,Demos,MIT,Godot Engine,https://godotengine.org/asset-library/asset/2734,https://github.com/godotengine/godot-demo-projects
3D asset pack preview renederer,Projects,MIT,reyortegaitor@gmail.com,https://godotengine.org/asset-library/asset/3596,https://github.com/aitordsgn03/Asset-Pack-Preview-Generator
3D Auto Collision Generator,3D Tools,MIT,gnommys,https://godotengine.org/asset-library/asset/2648,https://github.com/ThGnommy/godot_3d_auto_collision_generator
3D Basis Workspace,Templates,MIT,ThaAftrPartie,https://godotengine.org/asset-library/asset/3118,https://github.com/aftrosrs/Basic3DSetup
3D Car with Settingspanel,3D Tools,CC0,OnSr,https://godotengine.org/asset-library/asset/661,https://github.com/BeytoA/3D-Car-With-Settingspanel
3D Controls Toolkit,3D Tools,MIT,Cianci,https://godotengine.org/asset-library/asset/3297,https://github.com/CiaNCI-Studio/3D-Controls-Toolkit
3D Destructible Procedural Smooth Terrain,Templates,MIT,50kush,https://godotengine.org/asset-library/asset/2813,https://github.com/alpapaydin/Godot4-3D-Smooth-Destructible-Terrain
3D Enemy Toolkit,3D Tools,MIT,Cianci,https://godotengine.org/asset-library/asset/3362,https://github.com/CiaNCI-Studio/3D-Enemy-Toolkit
3D First Person WASD Input Actions,3D Tools,CC0,boqsc0,https://godotengine.org/asset-library/asset/3935,https://github.com/BoQsc/Godot-WASD_Input_Setup_for_first-person-POV
3D Gallery,3D Tools,MIT,citizenken,https://godotengine.org/asset-library/asset/3212,https://github.com/citizenken/godot-3d-gallery
3D Gizmo Tool,3D Tools,MIT,Buck Wild Games,https://godotengine.org/asset-library/asset/3803,https://github.com/BuckWildGames/Godot4xGizmo
3D Global Illumination Demo,Demos,MIT,Godot Engine,https://godotengine.org/asset-library/asset/1290,https://github.com/godotengine/godot-demo-projects
3D Graphics Settings Demo,Demos,MIT,Godot Engine,https://godotengine.org/asset-library/asset/2738,https://github.com/godotengine/godot-demo-projects
3D GridMap and non GridMap Navmesh Demos,Demos,MIT,Victoralm,https://godotengine.org/asset-library/asset/350,https://github.com/Victoralm/AGridMap_Pathfollow
3D in 2D Viewport demo,Demos,MIT,Godot Engine,https://godotengine.org/asset-library/asset/2804,https://github.com/godotengine/godot-demo-projects
3D Kinematic Character Demo,Demos,MIT,Godot Engine,https://godotengine.org/asset-library/asset/126,https://github.com/godotengine/godot-demo-projects
3D Labels and Texts Demo,Demos,MIT,Godot Engine,https://godotengine.org/asset-library/asset/2740,https://github.com/godotengine/godot-demo-projects
3D Lights and Shadows Demo,Demos,MIT,Godot Engine,https://godotengine.org/asset-library/asset/2741,https://github.com/godotengine/godot-demo-projects
3D Low-Poly Exterior Plants,Misc,CC0,Malcolm Nixon,https://godotengine.org/asset-library/asset/1604,https://github.com/Malcolmnixon/Shapespark-Low-Poly-Exterior-Plants
3d Male Base Mesh,Misc,CC0,boqsc0,https://godotengine.org/asset-library/asset/3690,https://github.com/BoQsc/Godot-Male-Base-Mesh
3D Multiplayer Bobmerman,Demos,MIT,XerotoLabs,https://godotengine.org/asset-library/asset/403,https://github.com/Prime-Eight/cautious-guacamole
3D Navigation Demo,Demos,MIT,Godot Engine,https://godotengine.org/asset-library/asset/2743,https://github.com/godotengine/godot-demo-projects
3D Node Graph,3D Tools,MIT,Walksanator,https://godotengine.org/asset-library/asset/3483,https://github.com/walksanatora/GodotNodeGraph3D
3D Outline,Shaders,MIT,ReisDev,https://godotengine.org/asset-library/asset/550,https://github.com/Reisflocke/godot-3d-outline
3D Particles Demo,Demos,MIT,Godot Engine,https://godotengine.org/asset-library/asset/2745,https://github.com/godotengine/godot-demo-projects
3D Physics Tests Demo,Demos,MIT,Godot Engine,https://godotengine.org/asset-library/asset/2747,https://github.com/godotengine/godot-demo-projects
3D Physics Tests Demo,Demos,MIT,Godot Engine,https://godotengine.org/asset-library/asset/675,https://github.com/godotengine/godot-demo-projects
3D Pixel-Perfect Outline,Shaders,MIT,LanzaSchneider,https://godotengine.org/asset-library/asset/957,https://github.com/LanzaSchneider/godot-3d_pixel_perfect_outline
3D Planet Generator,Shaders,MIT,Naejimer,https://godotengine.org/asset-library/asset/1615,https://github.com/remijean/godot-3d-planet-generator
3D Platform Template,Templates,MIT,dwarfpreon,https://godotengine.org/asset-library/asset/808,https://github.com/vertexcube/3D_Platform_Template
3D Platformer Robot,Misc,CC0,CaptainRipley,https://godotengine.org/asset-library/asset/1467,https://github.com/AGChow/3D-Godot-Robot-Platformer-Character
3D reflecting laser Godot.,Demos,MIT,Remysaurus,https://godotengine.org/asset-library/asset/1935,https://github.com/Remysaurus/GodotReflectingLaser3D
3D Refraction Shader,Shaders,MIT,nathanwarden,https://godotengine.org/asset-library/asset/756,https://github.com/NathanWarden/godot_refraction_shader
3D Resolution Scaling Demo,Demos,MIT,Godot Engine,https://godotengine.org/asset-library/asset/2805,https://github.com/godotengine/godot-demo-projects
3D RigidBody Character Demo,Demos,MIT,Godot Engine,https://godotengine.org/asset-library/asset/1291,https://github.com/godotengine/godot-demo-projects
3d Rotate Direct Constant Smooth,Demos,MIT,JohnnyRouddro,https://godotengine.org/asset-library/asset/674,https://github.com/JohnnyRouddro/3d_rotate_direct_constant_smooth
3D RTS Camera,3D Tools,MIT,EmilHakala,https://godotengine.org/asset-library/asset/3638,https://github.com/EmilHakala/3D-RTS-Camera
3D Shooter Kit,3D Tools,MIT,Cianci,https://godotengine.org/asset-library/asset/3746,https://github.com/CiaNCI-Studio/ShooterKit
3D Targeting System,Demos,MIT,JohnnyRouddro,https://godotengine.org/asset-library/asset/723,https://github.com/JohnnyRouddro/Godot_3D_Targeting_System
3D Targeting System Ultimate,Demos,MIT,kreaninw,https://godotengine.org/asset-library/asset/812,https://github.com/kreaninw/3D-Targeting-Syetem-Ultimate
3D Text Plugin,3D Tools,MIT,SIsilicon,https://godotengine.org/asset-library/asset/419,https://github.com/SIsilicon/Godot-3D-text-plugin
3D Viewport Scaling Demo,Demos,MIT,Godot Engine,https://godotengine.org/asset-library/asset/586,https://github.com/godotengine/godot-demo-projects
3D Visualized Path,3D Tools,MIT,markeel,https://godotengine.org/asset-library/asset/1876,https://github.com/markeel/godot-vizpath
3D Voxel Demo,Demos,MIT,Godot Engine,https://godotengine.org/asset-library/asset/676,https://github.com/godotengine/godot-demo-projects
3D Water Surface,3D Tools,MIT,khairul169,https://godotengine.org/asset-library/asset/42,https://github.com/khairul169/3d-simplewater
3D Waypoints Demo,Demos,MIT,Godot Engine,https://godotengine.org/asset-library/asset/889,https://github.com/godotengine/godot-demo-projects
3D Waypoints Demo,Demos,MIT,Godot Engine,https://godotengine.org/asset-library/asset/2756,https://github.com/godotengine/godot-demo-projects
3DCamera for Fighing Game,3D Tools,MIT,GatitoMimoso,https://godotengine.org/asset-library/asset/4056,https://github.com/GatitoMimoso00/3D-Fighting-Camera
4-Directional Animation,Scripts,MIT,mechPenSketch,https://godotengine.org/asset-library/asset/644,https://github.com/mechPenSketch/4-dir_Anim
4.1+ Discord  RPC / Editor Presence Plugin,Scripts,MIT,vaporvee,https://godotengine.org/asset-library/asset/1968,https://github.com/vaporvee/discord-rpc-godot
A Dialogue Box,2D Tools,MIT,divirad,https://godotengine.org/asset-library/asset/484,https://github.com/Divirad/ADialogueBox
a mole game,Projects,MIT,lulersoft,https://godotengine.org/asset-library/asset/329,https://github.com/lulersoft/godot_mole_game
Abandoned Spaceship Demo,Demos,MIT,Perfoon,https://godotengine.org/asset-library/asset/1733,https://github.com/perfoon/Abandoned-Spaceship-Godot-Demo
About Dialog,Tools,MIT,NovaDC,https://godotengine.org/asset-library/asset/2694,https://github.com/NovaDC/Godot-About-Dialog
Acrylic Glass,2D Tools,MIT,pattlebass,https://godotengine.org/asset-library/asset/1670,https://github.com/pattlebass/Godot-Acrylic
Acrylic Glass,2D Tools,MIT,pattlebass,https://godotengine.org/asset-library/asset/1691,https://github.com/pattlebass/Godot-Acrylic
Action Behavior Tree,Tools,MIT,gsioteam,https://godotengine.org/asset-library/asset/1133,https://github.com/gsioteam/action_behavior_tree
Action Command,Tools,MIT,gsioteam,https://godotengine.org/asset-library/asset/1137,https://github.com/gsioteam/ActionCommand
Action Icon,Misc,MIT,KoBeWi,https://godotengine.org/asset-library/asset/1148,https://github.com/KoBeWi/Godot-Action-Icon
Action Icon,Misc,MIT,KoBeWi,https://godotengine.org/asset-library/asset/1431,https://github.com/KoBeWi/Godot-Action-Icon
Action List,Scripts,Apache-2.0,acegiak,https://godotengine.org/asset-library/asset/1517,https://github.com/acegiak/Godot4-Action-List
ActionButton,2D Tools,MIT,Hapty,https://godotengine.org/asset-library/asset/3884,https://github.com/HappyHeads/ActionButton
ActionReaction,Scripts,MIT,SrColoma,https://godotengine.org/asset-library/asset/2931,https://github.com/SrColoma/ActionReaction
Active Rigid Body Ragdolls,3D Tools,MIT,R3X_G1L,https://godotengine.org/asset-library/asset/1218,https://github.com/R3X-G1L6AME5H/Godot-Active-Ragdolls
ADB Helper,Tools,MIT,Dorblin7z7,https://godotengine.org/asset-library/asset/354,https://github.com/DevinPentecost/godot-adb-helper
Additional APIs,Tools,GPLv2,Sain_Dreams,https://godotengine.org/asset-library/asset/2240,https://github.com/Tio-Henry/Additional-APIs
Addon Toggler,Tools,MIT,ethereal,https://godotengine.org/asset-library/asset/3788,https://github.com/etherealxx/godot-addon-toggler
AddonSave,Scripts,GPLv3,Can202,https://godotengine.org/asset-library/asset/966,https://github.com/Can202/godot_save
Addonsave (4.1),Scripts,GPLv3,Beatrix - Assets,https://godotengine.org/asset-library/asset/2326,https://github.com/Can202/godot_save
Adivery Plugin,Tools,MIT,Dexter,https://godotengine.org/asset-library/asset/3094,https://github.com/DexterFstone/godot-adivery
Advanced Character,3D Tools,MIT,HELLBOY_HEAVEN,https://godotengine.org/asset-library/asset/3474,https://github.com/Ieida/rigid_character_body_3d
Advanced FPS Controller Template,Templates,MIT,Jeheno,https://godotengine.org/asset-library/asset/3475,https://github.com/Jeh3no/Godot-Advanced-FPS-Controller-Template
Advanced Movement System Godot (AMSG) Template,Templates,MIT,ywmaa,https://godotengine.org/asset-library/asset/1107,https://github.com/ywmaa/Advanced-Movement-System-Godot
Advanced Radial Menu,2D Tools,Apache-2.0,display,https://godotengine.org/asset-library/asset/2220,https://github.com/diklor/advanced_radial_menu
Advanced Random Stuff,Tools,MIT,don-tnowe,https://godotengine.org/asset-library/asset/1598,https://github.com/don-tnowe/godot-advanced-random
Advanced Random Stuff,Scripts,MIT,don-tnowe,https://godotengine.org/asset-library/asset/1468,https://github.com/don-tnowe/godot-advanced-random
Advanced Rich Text Label,Tools,MIT,xynanlee,https://godotengine.org/asset-library/asset/3949,https://github.com/DazzlePixel/Advanced-Rich-Text-Label
Advanced Save System,Scripts,MIT,rdmtt,https://godotengine.org/asset-library/asset/346,https://github.com/rdmtt/Godot-3.1-Advanced-Save-System
Advanced Search,Tools,MIT,Utnapishtim,https://godotengine.org/asset-library/asset/1490,https://github.com/media/Patchcoat
AdvancedText,Misc,MIT,Jebedaia,https://godotengine.org/asset-library/asset/4029,https://github.com/rakugoteam/AdvancedText
Agar.io,Templates,MIT,mbMayer,https://godotengine.org/asset-library/asset/3580,https://github.com/mbMayer/Godot-Agar.io
Agones SDK Plugin,Scripts,MIT,AndreMicheletti,https://godotengine.org/asset-library/asset/1001,https://github.com/AndreMicheletti/godot-agones-sdk
AI Assistant Hub,Tools,MIT,FlamxGames,https://godotengine.org/asset-library/asset/3427,https://github.com/FlamxGames/godot-ai-assistant-hub
AI Context Generator,Tools,MIT,rainlizard,https://godotengine.org/asset-library/asset/2708,https://github.com/rainlizard/AI-Context-Generator
AI dialog generator plugin,Scripts,MIT,ksgd04,https://godotengine.org/asset-library/asset/3853,https://github.com/krishsharma0413/godot-AI-Dialog
AI Horde Client,Tools,MIT,db0,https://godotengine.org/asset-library/asset/1463,https://github.com/Haidra-Org/AI-Horde-Client-Addon
AI Use Cases Demo (With Video),Demos,MIT,ThinkWithGames,https://godotengine.org/asset-library/asset/2370,https://github.com/Goldenlion5648/AIShowcaseForGames
AI Voices/Dialogues Generator (AllTalk_TTS),Tools,MIT,error404,https://godotengine.org/asset-library/asset/3742,https://github.com/anthonyc06/GodotAIVoices
Aircraft,Scripts,MIT,wmigor,https://godotengine.org/asset-library/asset/4049,https://github.com/wmigor/godot-aircraft-plugin
Alexandria - alexandria.db,Scripts,MIT,BryceDixon,https://godotengine.org/asset-library/asset/3213,https://github.com/BtheDestroyer/godot-alexandria
Alexandria - alexandria.netclient,Scripts,MIT,BryceDixon,https://godotengine.org/asset-library/asset/3214,https://github.com/BtheDestroyer/godot-alexandria
Algodot,Scripts,MIT,lucasvanmol,https://godotengine.org/asset-library/asset/1219,https://github.com/lucasvanmol/algodot
AlienNation,Demos,CC0,katcho,https://godotengine.org/asset-library/asset/1887,https://github.com/katcho10/AlienNation
Alignment Tool,Tools,MIT,zaevi,https://godotengine.org/asset-library/asset/1986,https://github.com/zaevi/godot-alignment-tool
All Projectiles,Tools,MIT,OscarVezz,https://godotengine.org/asset-library/asset/3924,https://github.com/OscarVezz/all-projectiles
AllSky Free,Materials,MIT,rpgwhitelock,https://godotengine.org/asset-library/asset/579,https://github.com/rpgwhitelock/AllSkyFree_Godot
AlphaOS,Demos,MIT,urieldeveaud,https://godotengine.org/asset-library/asset/417,https://github.com/KoreTeknology/AlphaOS
AlternativeTimer,Scripts,MIT,pokeparadox,https://godotengine.org/asset-library/asset/2008,https://github.com/pokeparadox/VisaudFx
Alys - Precision Platformer,Demos,MIT,s3r0s4pi3ns,https://godotengine.org/asset-library/asset/2093,https://github.com/godotessentials/alys
ambientcg,Materials,MIT,mohsenph69,https://godotengine.org/asset-library/asset/1326,https://github.com/mohsenph69/godot-ambientcg
AmbientCG Material Downloader (Godot 4.3),Materials,CC0,VenitStudios,https://godotengine.org/asset-library/asset/3657,https://github.com/VenitStudios/AmbientCG
AMC Forth,Scripts,MIT,tiggerntatie,https://godotengine.org/asset-library/asset/3566,https://github.com/Eccentric-Anomalies/AMC-Forth
AMP (Adaptive Music Player),Tools,MIT,DatLycan,https://godotengine.org/asset-library/asset/1998,https://github.com/DatLycan/AMP
Anaglyph Camera,Shaders,MIT,SIsilicon,https://godotengine.org/asset-library/asset/838,https://github.com/SIsilicon/Godot-Anaglyph-Camera
Analog Control,Scripts,Testing,Berari,https://godotengine.org/asset-library/asset/1480,https://github.com/matheus-s-arruda/joystick_Plugin_Godot_Engine
Analog Controller,2D Tools,MIT,thiagobruno,https://godotengine.org/asset-library/asset/572,https://github.com/thiagobruno/godot_analogcontroller
Analog Stick,Projects,MIT,samy,https://godotengine.org/asset-library/asset/318,https://github.com/sami8github/Godot-Analog-Stick
Analog Touch Control,Tools,MIT,Cianci,https://godotengine.org/asset-library/asset/3956,https://github.com/CiaNCI-Studio/AnalogTouchControl
AnchorsOnlyPreset,2D Tools,MIT,zaevi,https://godotengine.org/asset-library/asset/3647,https://github.com/user-attachments/assets
Android Admob Plugin,Scripts,MIT,cengiz-pz,https://godotengine.org/asset-library/asset/2548,https://github.com/cengiz-pz/godot-android-admob-plugin
Android Billing Godot Plugin,Scripts,MIT,Max Trash,https://godotengine.org/asset-library/asset/3068,https://github.com/code-with-max/godot-google-play-iapp
Android Deeplink Plugin,Scripts,MIT,cengiz-pz,https://godotengine.org/asset-library/asset/2534,https://github.com/cengiz-pz/godot-android-deeplink-plugin
Android Haptics,Tools,MIT,Mobuos,https://godotengine.org/asset-library/asset/3570,https://github.com/Mobuos/godot-android-haptics
Android IAP Demo with C#,Demos,MIT,Godot Engine,https://godotengine.org/asset-library/asset/787,https://github.com/godotengine/godot-demo-projects
Android In-App Purchases (IAP) Demo,Demos,MIT,Godot Engine,https://godotengine.org/asset-library/asset/2792,https://github.com/godotengine/godot-demo-projects
Android In-app Review Plugin,Scripts,MIT,cengiz-pz,https://godotengine.org/asset-library/asset/2549,https://github.com/cengiz-pz/godot-android-inapp-review-plugin
Android Internet Connection State Plugin,Misc,MIT,Mero,https://godotengine.org/asset-library/asset/2916,https://github.com/MeroVinggen/Godot-AndroidInternetConnectionStatePlugin
Android Notification Scheduler Plugin,Scripts,MIT,cengiz-pz,https://godotengine.org/asset-library/asset/2547,https://github.com/cengiz-pz/godot-android-notification-scheduler-plugin
Android RMB Emulator,Tools,Testing,MuffinInACup,https://godotengine.org/asset-library/asset/1397,https://github.com/MuffinInACup/ARMBE
Android Share Plugin,Scripts,MIT,cengiz-pz,https://godotengine.org/asset-library/asset/2542,https://github.com/cengiz-pz/godot-android-share-plugin
Android System Bar Color Changer,Tools,MIT,Anish,https://godotengine.org/asset-library/asset/3342,https://github.com/syntaxerror247/godot-android-system-bar-color-changer
AndroidSystemBarControl,Scripts,MIT,menjliamanallah,https://godotengine.org/asset-library/asset/4065,https://github.com/minami110/godot-signal-extensions
Anima for Godot 4,Tools,MIT,ceceppa,https://godotengine.org/asset-library/asset/1842,https://github.com/ceceppa/anima
Animated Camera,3D Tools,MIT,x1212,https://godotengine.org/asset-library/asset/64,https://github.com/x1212/godot_animated_camera
Animated Control Node,2D Tools,MIT,toafloast,https://godotengine.org/asset-library/asset/2115,https://github.com/toafloast/godot-AnimatedControl
Animated Grid Container,Tools,MIT,Trogallart,https://godotengine.org/asset-library/asset/501,https://github.com/gmarais/AnimatedGridContainerPlugin
Animated Shape 2D,2D Tools,MIT,Goutte,https://godotengine.org/asset-library/asset/2484,https://github.com/Goutte/godot-addon-animated-shape-2d
Animated Sprite to Animation Player Convertor,2D Tools,MIT,poohcom1,https://godotengine.org/asset-library/asset/1216,https://github.com/poohcom1/godot-animated-sprite-2-player
Animated Sprite to Animation Player Convertor 4.0,2D Tools,MIT,poohcom1,https://godotengine.org/asset-library/asset/1605,https://github.com/poohcom1/godot-animated-sprite-2-player
Animated Text,2D Tools,MIT,indigobeetle,https://godotengine.org/asset-library/asset/2521,https://github.com/IndigoBeetle/godot_animated_text
Animated Tiled Skybox,Shaders,MIT,YetAnotherGodotUser,https://godotengine.org/asset-library/asset/3263,https://github.com/pythoncoder83/animated-tiled-skybox
AnimatedButton,2D Tools,MIT,G2P Studios,https://godotengine.org/asset-library/asset/3152,https://github.com/AdilDevStuff/AnimatedButton
Animation Node Redirector,Tools,MIT,DangerousWhenWet,https://godotengine.org/asset-library/asset/3627,https://github.com/DangerousWhenWet/animation-node-redirector
Animation Resetter,Tools,MIT,timothyqiu,https://godotengine.org/asset-library/asset/1800,https://github.com/timothyqiu/godot-animation-resetter
Animation Slider,Misc,MIT,Andrew Wilkes,https://godotengine.org/asset-library/asset/1562,https://github.com/andrew-wilkes/godot-animation-slider
Animation Slider,Misc,MIT,Andrew Wilkes,https://godotengine.org/asset-library/asset/1571,https://github.com/andrew-wilkes/godot-animation-slider
AnimationPlayer frames times in Milliseconds,Tools,MIT,dannygaray60,https://godotengine.org/asset-library/asset/1513,https://github.com/dannygaray60/animationplayer-framedata-ms-godot
AnimationPlayer Refactor,Tools,MIT,poohcom1,https://godotengine.org/asset-library/asset/1777,https://github.com/poohcom1/godot-animation-player-refactor
