title,category,license,author,asset_url
2D Particles Demo,Demos,MIT,Godot Engine,https://godotengine.org/asset-library/asset/118
2D Physics Platformer Demo (RigidBody),Demos,MIT,Godot Engine,https://godotengine.org/asset-library/asset/119
2D Physics Platformer Demo (Rigidbody) CS,Demos,MIT,MugenTwo,https://godotengine.org/asset-library/asset/553
2D Platformer Demo (KinematicBody),Demos,MIT,Godot Engine,https://godotengine.org/asset-library/asset/120
2D Platformer Pathfinding Tool,2D Tools,MIT,Lestavol,https://godotengine.org/asset-library/asset/4061
2D Role Playing Game Demo,Demos,MIT,Godot Engine,https://godotengine.org/asset-library/asset/520
2D Screen-Space Shaders Demo,Demos,MIT,Godot Engine,https://godotengine.org/asset-library/asset/122
2D Sprite Shaders Demo,Demos,MIT,Godot Engine,https://godotengine.org/asset-library/asset/522
2D Tools,2D Tools,MIT,KoppiGames,https://godotengine.org/asset-library/asset/3368
3D Animated Robot,Misc,CC0,Golden,https://godotengine.org/asset-library/asset/344
3D Course Editor,Templates,MIT,arlez80,https://godotengine.org/asset-library/asset/982
3D FPP Interaction Template,Templates,MIT,RadMatt,https://godotengine.org/asset-library/asset/195
3D Hover canvasitem,Shaders,MIT,sivabalan,https://godotengine.org/asset-library/asset/3874
3D in 2D Demo,Demos,MIT,Godot Engine,https://godotengine.org/asset-library/asset/128
3D Inverse Kinematics Demo,Demos,MIT,Godot Engine,https://godotengine.org/asset-library/asset/523
3D Kinematic Character Demo CS,Demos,MIT,MugenTwo,https://godotengine.org/asset-library/asset/685
3D Material Testers Demo,Demos,MIT,Godot Engine,https://godotengine.org/asset-library/asset/123
3D Navmesh Demo,Demos,MIT,Godot Engine,https://godotengine.org/asset-library/asset/124
3D Platformer - Starter,Templates,MIT,Silver Demon Studios,https://godotengine.org/asset-library/asset/2191
3D Platformer Demo,Demos,MIT,Godot Engine,https://godotengine.org/asset-library/asset/125
3D print shader,Shaders,Unlicense,q8geek,https://godotengine.org/asset-library/asset/2437
3D Tiles For Godot,3D Tools,Apache-2.0,BattleRoadLabs,https://godotengine.org/asset-library/asset/3976
3D Trail in C#,Scripts,Unlicense,q8geek,https://godotengine.org/asset-library/asset/2150
3D Truck Town Demo,Demos,MIT,Godot Engine,https://godotengine.org/asset-library/asset/524
766 Color Palette Swap Shader,Shaders,MIT,AlbGD,https://godotengine.org/asset-library/asset/671
A Star 2D Grid Node,2D Tools,MIT,Firemanarg,https://godotengine.org/asset-library/asset/1799
AABB Static BoxCollider from Mesh,3D Tools,MIT,rybadour,https://godotengine.org/asset-library/asset/3059
abfi: Allegro Bitmap Font Importer,Tools,MIT,snoopdouglas,https://godotengine.org/asset-library/asset/598
Achievement System,Tools,MIT,5FB5,https://godotengine.org/asset-library/asset/1004
Acro's Hitboxes,2D Tools,MIT,acroprojects,https://godotengine.org/asset-library/asset/1198
AdaptiSound,Tools,MIT,Mr. Walkman,https://godotengine.org/asset-library/asset/1983
AdMob,Tools,MIT,poing.studios,https://godotengine.org/asset-library/asset/2063
AdMob,Tools,MIT,poing.studios,https://godotengine.org/asset-library/asset/1108
AdMob (Legacy 3.3),Tools,MIT,poing.studios,https://godotengine.org/asset-library/asset/933
AdMob (v2) (Legacy Godot 4.0),Tools,MIT,poing.studios,https://godotengine.org/asset-library/asset/1701
Advanced Inspector Exporter,Tools,MIT,Multirious,https://godotengine.org/asset-library/asset/1331
AES in GDScript,Scripts,MIT,beamer159,https://godotengine.org/asset-library/asset/285
AI Assistants For Godot 4,Scripts,MIT,GrandpaEJ,https://godotengine.org/asset-library/asset/4075
Airplane Mouse Controls,Demos,MIT,ed3800,https://godotengine.org/asset-library/asset/2420
Android Geolocation Plugin,Tools,MIT,cengkarim@gmail.com,https://godotengine.org/asset-library/asset/3320
Android Godot Plugin Template,Templates,MIT,fernan2cas96,https://godotengine.org/asset-library/asset/1155
Android IAP Demo,Demos,MIT,Godot Engine,https://godotengine.org/asset-library/asset/532
Anima,Tools,MIT,ceceppa,https://godotengine.org/asset-library/asset/852
Animated Bow,Misc,BSL-1.0,ImageParSeconde,https://godotengine.org/asset-library/asset/1082
Animated Box Container,2D Tools,MIT,halyulx,https://godotengine.org/asset-library/asset/3952
Animated LowPoly Pistol,Misc,BSL-1.0,ImageParSeconde,https://godotengine.org/asset-library/asset/1047
Animated LowPoly Skeleton,Misc,BSL-1.0,ImageParSeconde,https://godotengine.org/asset-library/asset/1016
Animated LowPoly Slime,Misc,BSL-1.0,ImageParSeconde,https://godotengine.org/asset-library/asset/1009
Animated Panel Container,2D Tools,MIT,halyulx,https://godotengine.org/asset-library/asset/3928
Animated Zombie,Misc,BSL-1.0,ImageParSeconde,https://godotengine.org/asset-library/asset/1081
Animation Folder Loader,Tools,MIT,yousef200.7,https://godotengine.org/asset-library/asset/3813
Animation Frame Picker,2D Tools,MIT,AniMesuro,https://godotengine.org/asset-library/asset/697
AntiSpecularNoise,Shaders,MIT,DrunkBull,https://godotengine.org/asset-library/asset/1520
Arc Dark theme,Misc,MIT,Geequlim,https://godotengine.org/asset-library/asset/20
AreaProber2D,2D Tools,MIT,Strauji,https://godotengine.org/asset-library/asset/1065
Array Modifier,Tools,Unlicense,miskatonicstudio,https://godotengine.org/asset-library/asset/1012
Array Modifier,Tools,Unlicense,miskatonicstudio,https://godotengine.org/asset-library/asset/1743
Arrows,2D Tools,MIT,lkokemohr,https://godotengine.org/asset-library/asset/47
Aseprite Animation Importer,Tools,MIT,nklbdev,https://godotengine.org/asset-library/asset/767
Aseprite Importer,Tools,MIT,LeonardMeagher2,https://godotengine.org/asset-library/asset/1763
Aseprite importers,Tools,MIT,nklbdev,https://godotengine.org/asset-library/asset/1880
AspectRatioResizeContainer,2D Tools,MIT,Iceflower,https://godotengine.org/asset-library/asset/2089
Asteroid Mania,Demos,MIT,FonderElite,https://godotengine.org/asset-library/asset/1505
Asynchronous Scene Loader,Scripts,MIT,NovemberDev,https://godotengine.org/asset-library/asset/460
Atlas Importer,Tools,MIT,Geequlim,https://godotengine.org/asset-library/asset/44
Audio Booth,Tools,MIT,Bitron,https://godotengine.org/asset-library/asset/373
Audio Device Changer Demo,Demos,MIT,Godot Engine,https://godotengine.org/asset-library/asset/525
Audio Generator Demo,Demos,MIT,Godot Engine,https://godotengine.org/asset-library/asset/526
Audio Mic Record Demo,Demos,MIT,Godot Engine,https://godotengine.org/asset-library/asset/527
Audio Spectrum Demo,Demos,MIT,Godot Engine,https://godotengine.org/asset-library/asset/528
Authoritative Server Client Framework (Fast-paced),Projects,MIT,sj,https://godotengine.org/asset-library/asset/1298
Auto Expand Property Inspector,Misc,MIT,LunatikGames,https://godotengine.org/asset-library/asset/2390
Auto Material Setup,Tools,GPLv3,Thane5,https://godotengine.org/asset-library/asset/1028
Auto Version Incrementor (Mono),Tools,MIT,jtsmithit,https://godotengine.org/asset-library/asset/3568
AutoMat plugin - automatically create and assign materials,3D Tools,MIT,Rytelier,https://godotengine.org/asset-library/asset/1660
AutoSaver Toggle for Godot Editor (C#),Tools,MIT,vrravalos,https://godotengine.org/asset-library/asset/3170
AutoSizeText,Tools,MIT,SpielmannSpiel,https://godotengine.org/asset-library/asset/3843
AutotileGenerator,2D Tools,CC0,ticial,https://godotengine.org/asset-library/asset/1109
AutotileGenerator3x3min,2D Tools,CC0,ticial,https://godotengine.org/asset-library/asset/1097
aviones (Planes),Demos,Proprietary,gamedevargentina,https://godotengine.org/asset-library/asset/3428
Awaiter await-all,Tools,MIT,Nights,https://godotengine.org/asset-library/asset/3592
Axie Starter 3D,Templates,MIT,xs0nhaaa,https://godotengine.org/asset-library/asset/2230
Background Loading Demo,Demos,MIT,Godot Engine,https://godotengine.org/asset-library/asset/530
Bad Words Filter,Scripts,MIT,rockgem,https://godotengine.org/asset-library/asset/1764
Base64 Manager,Projects,GPLv3,Mxt08,https://godotengine.org/asset-library/asset/921
BashInGodot,2D Tools,MIT,ThomasGysemans,https://godotengine.org/asset-library/asset/1761
Basic 3d Starter,Templates,MIT,Luking,https://godotengine.org/asset-library/asset/2242
Basic Dynamic Pool,Scripts,Unlicense,q8geek,https://godotengine.org/asset-library/asset/2412
Batch collisions,Tools,MIT,DiV4,https://godotengine.org/asset-library/asset/603
Bayer Dithering Shader,Shaders,CC-BY-4.0,n0cturne,https://godotengine.org/asset-library/asset/4005
Beholder,3D Tools,Apache-2.0,mburkard,https://godotengine.org/asset-library/asset/2311
Beholder,3D Tools,MIT,mburkard,https://godotengine.org/asset-library/asset/799
Better Processes,Tools,MPL-2.0,GreenFox,https://godotengine.org/asset-library/asset/1878
Better Terrain,2D Tools,Unlicense,Portponky,https://godotengine.org/asset-library/asset/1806
Better Terrain 4.2,2D Tools,Unlicense,Portponky,https://godotengine.org/asset-library/asset/2954
Better Terrain in Gaea,2D Tools,MIT,Portponky,https://godotengine.org/asset-library/asset/3432
Better UI,2D Tools,MIT,chris,https://godotengine.org/asset-library/asset/3022
Bilinear Filtered Scaling,Shaders,MIT,ntfwc,https://godotengine.org/asset-library/asset/270
BiomeGenerator,Demos,MIT,StarNightFlower,https://godotengine.org/asset-library/asset/2023
Blendot Path Exporter,Tools,MIT,everydev,https://godotengine.org/asset-library/asset/3652
Boids (2D/3D flocking),Tools,MIT,yusdacra,https://godotengine.org/asset-library/asset/3284
Bokeh Particle Depth of Field,Shaders,MIT,Bauxite,https://godotengine.org/asset-library/asset/206
BoneGizmo,3D Tools,MIT,thimenesup,https://godotengine.org/asset-library/asset/66
Bottom Panel Creator,Tools,MIT,ThemEmers,https://godotengine.org/asset-library/asset/450
BSON for Godot,Tools,MIT,Zakarya,https://godotengine.org/asset-library/asset/3730
BumpToNormal,Tools,MIT,Jitnaught,https://godotengine.org/asset-library/asset/2690
BurstParticles2D,2D Tools,MIT,ivysly,https://godotengine.org/asset-library/asset/1814
C# 3D Platform + State Machine - Demo,Demos,MIT,nonunknown,https://godotengine.org/asset-library/asset/593
C# Coroutines like Unity,Scripts,MIT,Peaky,https://godotengine.org/asset-library/asset/2144
Calendar Button,2D Tools,MIT,Tybobobo,https://godotengine.org/asset-library/asset/22
Camera Monitor,Tools,MIT,zaevi,https://godotengine.org/asset-library/asset/1132
Character generator importer tool,2D Tools,MIT,BananaHolograma,https://godotengine.org/asset-library/asset/2862
Character Outline,3D Tools,MIT,arlez80,https://godotengine.org/asset-library/asset/1147
CharacterCamera3D,Scripts,MIT,Robotnik,https://godotengine.org/asset-library/asset/1776
Chess,Projects,MIT,CatAClock,https://godotengine.org/asset-library/asset/1863
Chunk Manager,Templates,Apache-2.0,RabbitTheGentle,https://godotengine.org/asset-library/asset/3281
CineCam,3D Tools,MIT,GoldenPotato76,https://godotengine.org/asset-library/asset/3044
Classic 2D Shooter,Demos,MIT,kidscancode,https://godotengine.org/asset-library/asset/2151
Clientside Predictor (3D clientside prediction),Scripts,GPLv3,DennisHeine,https://godotengine.org/asset-library/asset/1154
Clipboard Panel,Tools,GPLv3,Thane5,https://godotengine.org/asset-library/asset/1023
Cloud shader,Shaders,MIT,arlez80,https://godotengine.org/asset-library/asset/797
CodeScope,Tools,MIT,CodeScope,https://godotengine.org/asset-library/asset/3550
CodeSimp,Misc,CC0,jamesofthetauri,https://godotengine.org/asset-library/asset/1227
COGITO : Immersive Sim Template,Templates,MIT,Phazor,https://godotengine.org/asset-library/asset/2536
Color Calibrator,3D Tools,CC0,MrMinimal,https://godotengine.org/asset-library/asset/1064
Comedot Ultimate Template [4.4],Templates,MIT,Syntaks.io,https://godotengine.org/asset-library/asset/3163
Comedot Ultimate Template [4.5],Templates,MIT,Syntaks.io,https://godotengine.org/asset-library/asset/3887
Compass,3D Tools,MIT,GameDevOne,https://godotengine.org/asset-library/asset/1466
Content Pack Manager,Tools,MIT,eumario,https://godotengine.org/asset-library/asset/3682
Control / Input / Action re-binding,Tools,MIT,jarlowrey,https://godotengine.org/asset-library/asset/848
Controller,Tools,MIT,guilherme.albino.francisco@gmail.com,https://godotengine.org/asset-library/asset/2961
CORE Framework,Tools,AGPLv3,JeremyStarTM,https://godotengine.org/asset-library/asset/2596
CReverter (Composite Reverter aka Undo/Redo),Scripts,MIT,svetogam,https://godotengine.org/asset-library/asset/3092
CRT Monitor Shader,Shaders,MIT,arlez80,https://godotengine.org/asset-library/asset/821
CSConnector (Contextual Signal/Setup Connector),Scripts,MIT,svetogam,https://godotengine.org/asset-library/asset/3471
CSGMesher,3D Tools,MIT,dbat,https://godotengine.org/asset-library/asset/2042
CSGToMesh,3D Tools,MIT,Jitnaught,https://godotengine.org/asset-library/asset/2685
Csharp Console,Tools,MIT,moliko,https://godotengine.org/asset-library/asset/2131
CSLocator (Contextual Service Locator),Scripts,MIT,svetogam,https://godotengine.org/asset-library/asset/2984
Curvature Shader,Shaders,MIT,NovemberDev,https://godotengine.org/asset-library/asset/459
Curve Terrain,3D Tools,MIT,pyscripter99,https://godotengine.org/asset-library/asset/2966
Custom Theme Overrides,Tools,MIT,Iceflower,https://godotengine.org/asset-library/asset/2091
Cybs Gameunit,Scripts,MIT,Cyberrebell,https://godotengine.org/asset-library/asset/1649
DaemonSide,Projects,MIT,AvianGames,https://godotengine.org/asset-library/asset/1731
Dance Game Demo,Demos,MIT,emirthab,https://godotengine.org/asset-library/asset/935
Dark Peace's BulletUpHell: BulletHell Engine (Godot 4),2D Tools,MIT,Dark Peace,https://godotengine.org/asset-library/asset/1801
Dark Peace's BulletUpHell: BulletHell Engine (Godot 4.2),2D Tools,MIT,Dark Peace,https://godotengine.org/asset-library/asset/2576
Dark Peace's BulletUpHell: BulletHell Engine (Godot4.1),2D Tools,MIT,Dark Peace,https://godotengine.org/asset-library/asset/2577
Data Folder Deleter,Scripts,GPLv3,Kutay GÃ¼ler,https://godotengine.org/asset-library/asset/673
Data Persistence - Easy Text File Saving & Reloading,Scripts,MIT,DeForrestStudios,https://godotengine.org/asset-library/asset/3624
Date Time Addon,Misc,MIT,Aendryr,https://godotengine.org/asset-library/asset/1157
DatePicker,Misc,MIT,chrisizeful,https://godotengine.org/asset-library/asset/3835
DebugGUI Graph,Tools,MIT,WeaverDev,https://godotengine.org/asset-library/asset/2020
DecalCo,3D Tools,MIT,Master_J_,https://godotengine.org/asset-library/asset/670
Deep Debug,Tools,MIT,Rytelier,https://godotengine.org/asset-library/asset/1446
Delta Rollback,Scripts,MIT,BimDav,https://godotengine.org/asset-library/asset/3107
Demo Platformer Game,Demos,GPLv3,CesarLeon,https://godotengine.org/asset-library/asset/353
Dialog and Quest System,Misc,MIT,miziziziz,https://godotengine.org/asset-library/asset/416
DigiVGamepad,Tools,MIT,digitecnology,https://godotengine.org/asset-library/asset/50
DigiVR,3D Tools,MIT,digitecnology,https://godotengine.org/asset-library/asset/49
Discord RPC,Misc,MIT,Abdera7mane,https://godotengine.org/asset-library/asset/1950
Discord.gd,Scripts,MIT,3ddelano,https://godotengine.org/asset-library/asset/1010
Dockable Output,Tools,MIT,Moonbrick Games,https://godotengine.org/asset-library/asset/499
Dolly Camera Controller,3D Tools,MIT,The Spoonful One,https://godotengine.org/asset-library/asset/3927
dolly-gd,Scripts,MIT,florianvazelle,https://godotengine.org/asset-library/asset/1345
Doodly Jumping,Demos,MIT,Clocktown,https://godotengine.org/asset-library/asset/277
Draftsman,Scripts,MIT,LuckyB45tard,https://godotengine.org/asset-library/asset/854
Draw Anywhere,Tools,MIT,3ddelano,https://godotengine.org/asset-library/asset/1184
DRPG Framework,Templates,MIT,Nyatsumi,https://godotengine.org/asset-library/asset/3329
DSCN Plugin,Tools,MIT,TwistedTwigleg,https://godotengine.org/asset-library/asset/274
DTDA ML - Machine Learning models,Scripts,Apache-2.0,DTDAGames,https://godotengine.org/asset-library/asset/3359
dual quaternion skinning demo,Demos,MIT,firebeetle,https://godotengine.org/asset-library/asset/2062
DualEditor,Tools,MIT,Meta-Ben,https://godotengine.org/asset-library/asset/3563
Dynamic Camera 2D,2D Tools,MIT,emirthab,https://godotengine.org/asset-library/asset/1590
Dynamic Gravity Kinematic Character,Demos,MIT,Felipe Moura,https://godotengine.org/asset-library/asset/546
Dynamic Split Screen Demo,Demos,MIT,Godot Engine,https://godotengine.org/asset-library/asset/541
DynamicWater2D,2D Tools,MIT,yusdacra,https://godotengine.org/asset-library/asset/3246
Easy Charts,Tools,MIT,fenix,https://godotengine.org/asset-library/asset/643
Easy Charts (4.x),Tools,MIT,fenix,https://godotengine.org/asset-library/asset/1898
Easy Savefiles,Misc,MIT,kanera,https://godotengine.org/asset-library/asset/3201
Easy Sheet Manager,Tools,MIT,nonunknown,https://godotengine.org/asset-library/asset/599
EasyBlend,Shaders,MIT,nobuyuki,https://godotengine.org/asset-library/asset/228
Editor debugger,Tools,MIT,Zylann,https://godotengine.org/asset-library/asset/295
Editor debugger,Tools,MIT,Zylann,https://godotengine.org/asset-library/asset/2003
Editor Discord Presence,Tools,MIT,3ddelano,https://godotengine.org/asset-library/asset/1166
editor-log-highlighter,Misc,MIT,ClumsyInker,https://godotengine.org/asset-library/asset/3810
Elgato Stream Deck Integration,Tools,MIT,BoyneGames,https://godotengine.org/asset-library/asset/1755
EngA - Engine Agnostic Framework,Tools,GPLv3,amarinat,https://godotengine.org/asset-library/asset/3623
EnhancedGridMap,3D Tools,MIT,DanchieGO,https://godotengine.org/asset-library/asset/4080
Export On Save,Tools,MIT,dsnopek,https://godotengine.org/asset-library/asset/1206
ExtendTimer,Tools,MIT,Keldowin,https://godotengine.org/asset-library/asset/2504
EzNet,Scripts,MIT,Royas,https://godotengine.org/asset-library/asset/4047
Ezpz Inspector,Tools,MIT,dilaura_exp,https://godotengine.org/asset-library/asset/2203
Fancy particles,Misc,MIT,k2kra,https://godotengine.org/asset-library/asset/1539
File Structure Export,Tools,MIT,Coffeeworld,https://godotengine.org/asset-library/asset/3678
FileSystemView,Tools,MIT,zaevi,https://godotengine.org/asset-library/asset/672
Finite Stack Machine,Scripts,MIT,Reefpirate,https://godotengine.org/asset-library/asset/237
Finite State Machine,Scripts,MIT,HexagonNico,https://godotengine.org/asset-library/asset/1332
Fire Bullets,2D Tools,MIT,MelonDev,https://godotengine.org/asset-library/asset/1990
Fire Shader,Shaders,MIT,arlez80,https://godotengine.org/asset-library/asset/840
First Person Controller,3D Tools,MIT,bdashraful,https://godotengine.org/asset-library/asset/310
First Person Controller (FPS),Scripts,MIT,Linko,https://godotengine.org/asset-library/asset/758
First person player,3D Tools,GPLv3,Mxt08,https://godotengine.org/asset-library/asset/917
Flawless 2D Shadows,2D Tools,MIT,Rokle,https://godotengine.org/asset-library/asset/2647
Flipbook Particles,3D Tools,AGPLv3,MrMinimal,https://godotengine.org/asset-library/asset/1278
FlowerInventory,Tools,MIT,BTOTHER,https://godotengine.org/asset-library/asset/1618
FlowerInventory - GD4,Tools,MIT,BTOTHER,https://godotengine.org/asset-library/asset/1754
Foamy Ocean,Shaders,MIT,creikey,https://godotengine.org/asset-library/asset/338
Follower,3D Tools,GPLv3,Mxt08,https://godotengine.org/asset-library/asset/915
FPS Controller (Mono),Scripts,MIT,ismailfilipov,https://godotengine.org/asset-library/asset/1553
FPS Hands,3D Tools,GPLv3,Bytez,https://godotengine.org/asset-library/asset/3715
Fractal Shaders,Shaders,MIT,Chaosus,https://godotengine.org/asset-library/asset/93
Free Look Camera,3D Tools,MIT,MarcPhi,https://godotengine.org/asset-library/asset/1317
Function Type Auto-complete,Tools,MIT,kahanscious,https://godotengine.org/asset-library/asset/3445
Game Base 2D,Templates,MIT,solenya,https://godotengine.org/asset-library/asset/2128
Gameboard SDK Plugin,Scripts,ISC,PixelThief,https://godotengine.org/asset-library/asset/2849
GD-OpenBlive,Tools,MIT,Fantety,https://godotengine.org/asset-library/asset/2626
GD-SimpleKnob,2D Tools,MIT,nobuyuki,https://godotengine.org/asset-library/asset/1246
GD-Sync | Advanced Multiplayer Plugin,Tools,BSD-2-Clause,GD-Sync,https://godotengine.org/asset-library/asset/2347
GDCastleDB,Tools,MIT,arlez80,https://godotengine.org/asset-library/asset/1547
GDCastleDB for Godot Engine 4,Scripts,MIT,arlez80,https://godotengine.org/asset-library/asset/1739
GDFormat,Tools,MIT,Bodo,https://godotengine.org/asset-library/asset/1057
GDGotm,Scripts,MIT,gotm.io,https://godotengine.org/asset-library/asset/620
GDLog,Tools,MIT,MagdielM,https://godotengine.org/asset-library/asset/2188
GDLuau: Luau C/C++ API bindings,Misc,MIT,Manonox,https://godotengine.org/asset-library/asset/2044
GDMosquitto,Tools,MIT,jferdelyi,https://godotengine.org/asset-library/asset/1523
GDMUT - C# Unit Tester,Tools,MIT,spycemyster,https://godotengine.org/asset-library/asset/2100
GDNative-Ropesim,2D Tools,MIT,mphe,https://godotengine.org/asset-library/asset/2334
gdods,Scripts,MIT,jelle,https://godotengine.org/asset-library/asset/297
GDPaho,Tools,MIT,jferdelyi,https://godotengine.org/asset-library/asset/2358
GDPeg,Scripts,MIT,arlez80,https://godotengine.org/asset-library/asset/680
GDPeg for Godot Engine 4,Scripts,MIT,arlez80,https://godotengine.org/asset-library/asset/1738
GDScript Input Field Plugin,Tools,MIT,blujai831,https://godotengine.org/asset-library/asset/2246
GDScript Macros,Tools,CC0,rainlizard,https://godotengine.org/asset-library/asset/992
GDScript OTP,Scripts,MIT,fenix,https://godotengine.org/asset-library/asset/1448
GDScript Parsers,Scripts,MIT,arlez80,https://godotengine.org/asset-library/asset/1335
GDScript Promise Async Utils,Scripts,MIT,kuruk-mm,https://godotengine.org/asset-library/asset/2351
GDScript syntax highlighting for GNU Nano text editor,Scripts,Unlicense,Rito12,https://godotengine.org/asset-library/asset/4000
gdunzip,Scripts,MIT,jelle,https://godotengine.org/asset-library/asset/298
Gemini Protocol,Scripts,MIT,mocha,https://godotengine.org/asset-library/asset/3220
GestureControlledCamera2D - Godot 3.x,2D Tools,MIT,mavcito,https://godotengine.org/asset-library/asset/542
GestureControlledCamera2D - Godot 4.x,2D Tools,MIT,mavcito,https://godotengine.org/asset-library/asset/1867
Ginq,Scripts,MIT,kaluluosi,https://godotengine.org/asset-library/asset/1752
Git SHA Project Setting,Tools,MIT,Iceflower,https://godotengine.org/asset-library/asset/1979
Git User Data,Tools,MIT,ACB_Gamez,https://godotengine.org/asset-library/asset/1533
Github To Itch,Tools,MIT,LeonardMeagher2,https://godotengine.org/asset-library/asset/1241
Gizmo3D,3D Tools,MIT,chrisizeful,https://godotengine.org/asset-library/asset/3392
Global position and rotation in Inspector,2D Tools,MIT,Login1990,https://godotengine.org/asset-library/asset/4044
GMUI,Tools,MIT,MoLuo,https://godotengine.org/asset-library/asset/1929
GO P2P,Misc,MIT,godotonline,https://godotengine.org/asset-library/asset/4046
GoBoxDialog,2D Tools,MIT,koris,https://godotengine.org/asset-library/asset/2452
Godiscord,Scripts,MIT,Shuflduf,https://godotengine.org/asset-library/asset/3562
GodoGram - Telegram API,Tools,MIT,Delalex,https://godotengine.org/asset-library/asset/2033
godot - backpacks,Projects,MIT,LHM,https://godotengine.org/asset-library/asset/2363
Godot .NET Scene-Oriented Unit Test,Tools,MIT,thremtopod,https://godotengine.org/asset-library/asset/2811
Godot 3D mesh slicing,3D Tools,MIT,S.Y.B.I.O.T.E,https://godotengine.org/asset-library/asset/938
Godot 4 interior mapping shader no cubemap,Shaders,MIT,Rytelier,https://godotengine.org/asset-library/asset/1564
"Godot 4.1 3D Terrain Plugin (heightmap, mapbox)",3D Tools,MIT,Sythelux,https://godotengine.org/asset-library/asset/1920
Godot Awesome Debug Print,Tools,MIT,AustinDoss,https://godotengine.org/asset-library/asset/1091
Godot Beautifier,Tools,MIT,cdpude,https://godotengine.org/asset-library/asset/1721
Godot Bone Editor,3D Tools,MIT,arlez80,https://godotengine.org/asset-library/asset/864
Godot Compass,Scripts,MIT,vishu,https://godotengine.org/asset-library/asset/1893
Godot Compass,Scripts,MIT,vishu,https://godotengine.org/asset-library/asset/2442
Godot Cookies,Scripts,MIT,Joy-less,https://godotengine.org/asset-library/asset/3698
Godot Coroutines (Unity like),Scripts,MIT,Apophis Software,https://godotengine.org/asset-library/asset/2263
Godot CQRS,Scripts,MIT,HELLBOY_HEAVEN,https://godotengine.org/asset-library/asset/3728
Godot Engine JWT,Scripts,MIT,fenix,https://godotengine.org/asset-library/asset/1104
Godot Essentials,Templates,MIT,BananaHolograma,https://godotengine.org/asset-library/asset/2819
Godot file auto-open,Tools,MIT,pahool,https://godotengine.org/asset-library/asset/3679
Godot Finder,Tools,Testing,josaid,https://godotengine.org/asset-library/asset/1382
Godot Game Settings,Tools,MIT,PunchablePlushie,https://godotengine.org/asset-library/asset/859
Godot GIF (4.1),Misc,MIT,b0tlanner,https://godotengine.org/asset-library/asset/2255
Godot GIF (4.4.1),Misc,MIT,b0tlanner,https://godotengine.org/asset-library/asset/3993
Godot Inheritance Dock,Tools,MIT,willnationsdev,https://godotengine.org/asset-library/asset/108
